iter	Passed	Remaining
146	244	1421
147	245	1412
148	245	1404
149	246	1395
150	246	1387
151	247	1378
152	247	1370
153	248	1363
154	248	1355
155	249	1347
156	249	1339
157	249	1332
158	250	1324
159	251	1317
160	251	1310
161	251	1302
162	252	1295
163	252	1288
164	253	1281
165	253	1274
166	254	1267
167	254	1261
168	255	1254
169	255	1247
170	255	1240
171	256	1234
172	256	1227
173	257	1221
174	257	1214
175	258	1208
176	258	1202
177	258	1195
178	259	1189
179	259	1183
180	260	1177
181	260	1171
182	261	1165
183	261	1160
184	262	1154
185	262	1148
186	262	1143
187	263	1137
188	263	1132
189	264	1126
190	264	1121
191	265	1116
192	265	1111
193	266	1106
194	266	1101
195	267	1096
196	267	1091
197	268	1086
198	268	1081
199	269	1077
200	269	1072
201	270	1067
202	270	1062
203	271	1057
204	271	1052
205	271	1048
206	272	1043
207	272	1039
208	273	1034
209	273	1030
210	274	1025
211	274	1021
212	275	1016
213	275	1012
214	276	1007
215	276	1003
216	276	999
217	277	994
218	277	990
219	278	986
220	278	982
221	279	978
222	279	974
223	280	970
224	280	966
225	281	962
226	281	958
227	281	954
228	282	950
229	282	946
230	283	942
231	283	938
232	284	935
233	284	932
234	285	928
235	285	924
236	286	921
237	286	917
238	286	913
239	287	909
240	287	906
241	288	902
242	288	899
243	289	895
244	289	892
245	289	888
246	290	885
247	290	881
248	291	878
249	291	875
250	292	871
251	292	868
252	293	865
253	293	862
254	294	859
255	294	856
256	295	853
257	295	849
258	295	846
259	296	843
260	296	840
261	297	836
262	297	833
263	298	831
264	298	828
265	299	825
266	299	822
267	299	819
268	300	816
269	300	813
270	301	810
271	301	808
272	302	805
273	302	802
274	303	799
275	304	797
276	304	794
277	305	792
278	305	789
279	306	787
280	306	784
281	307	781
282	307	779
283	308	776
284	308	774
285	309	771
286	309	769
287	310	766
288	310	764
289	311	761
290	311	759
291	312	757
292	312	754
293	313	752
294	313	749
295	314	746
296	314	744
297	315	742
298	315	739
299	315	737
300	316	734
301	316	732
302	317	729
303	317	727
304	318	725
305	318	722
306	319	720
307	319	718
308	320	715
309	320	713
310	321	711
311	321	709
312	322	707
313	323	705
314	323	703
315	324	702
316	324	700
317	325	697
318	325	695
319	326	693
320	326	691
321	327	689
322	327	686
323	328	684
324	328	682
325	329	680
326	329	678
327	330	676
328	330	674
329	331	672
330	331	670
331	332	668
332	332	666
333	332	663
334	333	661
335	333	659
336	334	657
337	334	655
338	335	653
339	335	651
340	336	649
341	336	647
342	337	645
343	337	643
344	338	641
345	338	639
346	339	637
347	339	635
348	339	633
349	340	632
350	340	630
351	341	628
352	341	626
353	342	624
354	342	623
355	343	621
356	343	619
357	344	617
358	344	615
359	345	613
360	345	612
361	346	610
362	346	608
363	347	606
364	347	604
365	348	603
366	349	603
367	350	601
368	350	599
369	351	597
370	351	596
371	352	594
372	352	592
373	353	590
374	353	589
375	353	587
376	354	585
377	354	583
378	355	582
379	355	580
380	356	579
381	356	577
382	357	575
383	357	573
384	358	572
385	358	570
386	359	569
387	359	567
388	360	565
389	360	564
390	361	562
391	361	561
392	362	559
393	362	557
394	363	556
395	363	554
396	364	553
397	364	551
398	365	550
399	366	549
400	367	548
401	367	546
402	368	545
403	368	543
404	369	542
405	369	540
406	370	539
407	370	537
408	371	536
409	371	534
410	372	533
411	372	531
412	373	530
413	373	529
414	374	527
415	374	526
416	375	524
417	375	523
418	376	521
419	376	520
420	377	518
421	377	517
422	378	515
423	378	514
424	379	513
425	379	511
426	380	510
427	380	508
428	381	507
429	381	505
430	382	504
431	382	502
432	382	501
433	383	499
434	383	498
435	384	497
436	384	495
437	385	494
438	385	492
439	386	491
440	386	489
441	387	488
442	387	487
443	387	485
444	388	484
445	388	482
446	389	481
447	389	480
448	390	478
449	390	477
450	390	475
451	391	474
452	392	473
453	392	472
454	393	470
455	393	469
456	394	468
457	394	467
458	395	465
459	395	464
460	396	463
461	396	462
462	397	460
463	397	459
464	398	458
465	399	457
466	399	456
467	400	454
468	400	454
469	401	452
470	402	451
471	402	450
472	403	449
473	403	448
474	404	446
475	404	445
476	405	444
477	406	443
478	406	442
479	407	441
480	407	440
481	408	438
482	408	437
483	409	436
484	409	435
485	410	433
486	410	432
487	411	431
488	411	430
489	412	429
490	413	428
491	413	426
492	414	425
493	414	424
494	415	423
